rxn	rxn_name	gene	equation	pathway
NNDPR	Nicotinate-nucleotide diphosphorylase (carboxylating)	Qprt	NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c	NAD Metabolism
NNMT	Nicotinamide N methyltransferase	Nnmt	NNMT: amet_c + ncam_c --> 1mncam_c + ahcys_c	NAD Metabolism
NORANMT	Noradrenaline N-methyltransferase	Pnmt	NORANMT: amet_c + nrpphr_c --> adrnl_c + ahcys_c + h_c	Tyrosine metabolism
NOS1	L-Arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)	Nos1	NOS1: arg__L_c + h_c + nadph_c + o2_c --> h2o_c + nadp_c + nwharg_c	Arginine and Proline Metabolism
NOS1	L-Arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)	Nos2	NOS1: arg__L_c + h_c + nadph_c + o2_c --> h2o_c + nadp_c + nwharg_c	Arginine and Proline Metabolism
NOS1	L-Arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)	Nos3	NOS1: arg__L_c + h_c + nadph_c + o2_c --> h2o_c + nadp_c + nwharg_c	Arginine and Proline Metabolism
NOS2	Nitric Oxide Synthase (NO forming)	Nos1	NOS2: nadph_c + 2.0 nwharg_c + 2.0 o2_c --> 2.0 citr__L_c + 2.0 h2o_c + h_c + nadp_c + 2.0 no_c	Arginine and Proline Metabolism
NOS2	Nitric Oxide Synthase (NO forming)	Nos2	NOS2: nadph_c + 2.0 nwharg_c + 2.0 o2_c --> 2.0 citr__L_c + 2.0 h2o_c + h_c + nadp_c + 2.0 no_c	Arginine and Proline Metabolism
NOS2	Nitric Oxide Synthase (NO forming)	Nos3	NOS2: nadph_c + 2.0 nwharg_c + 2.0 o2_c --> 2.0 citr__L_c + 2.0 h2o_c + h_c + nadp_c + 2.0 no_c	Arginine and Proline Metabolism
NP1	Nucleotide phosphatase	Pnp2	NP1: h_c + nac_c + r1p_c --> nicrns_c + pi_c	NAD Metabolism
NRPPHRVESSEC	Noradrenaline secretion via secretory vesicle (ATP driven)	Slc18a1	NRPPHRVESSEC: 2.0 atp_c + 2.0 h2o_c + 3.0 nrpphr_c --> 2.0 adp_c + 2.0 h_c + 3.0 nrpphr_e + 2.0 pi_c	Transport, Extracellular
NRPPHRVESSEC	Noradrenaline secretion via secretory vesicle (ATP driven)	Slc18a2	NRPPHRVESSEC: 2.0 atp_c + 2.0 h2o_c + 3.0 nrpphr_c --> 2.0 adp_c + 2.0 h_c + 3.0 nrpphr_e + 2.0 pi_c	Transport, Extracellular
NRPPHRt4_2_r	NRPPHRt4 LPAREN 2 RPAREN r	Slc6a2	NRPPHRt4_2_r: 2.0 na1_e + nrpphr_e <=> 2.0 na1_c + nrpphr_c	Transport, Extracellular
NRPPHRt4_2_r	NRPPHRt4 LPAREN 2 RPAREN r	Slc6a3	NRPPHRt4_2_r: 2.0 na1_e + nrpphr_e <=> 2.0 na1_c + nrpphr_c	Transport, Extracellular
NRPPHRtu	Norepinephrine uniport	Slc22a2	NRPPHRtu: nrpphr_e <=> nrpphr_c	Transport, Extracellular
NRPPHRtu	Norepinephrine uniport	Slc22a3	NRPPHRtu: nrpphr_e <=> nrpphr_c	Transport, Extracellular
NRVNCCPT1	Carnitine O-palmitoyltransferase	Cpt1a	NRVNCCPT1: crn_c + nrvnccoa_c --> coa_c + nrvnccrn_c	Carnitine shuttle
NRVNCCPT1	Carnitine O-palmitoyltransferase	Cpt1b	NRVNCCPT1: crn_c + nrvnccoa_c --> coa_c + nrvnccrn_c	Carnitine shuttle
NRVNCCPT1	Carnitine O-palmitoyltransferase	Cpt1c	NRVNCCPT1: crn_c + nrvnccoa_c --> coa_c + nrvnccrn_c	Carnitine shuttle
NRVNCCPT2	Carnitine transferase	Cpt2	NRVNCCPT2: coa_m + nrvnccrn_m --> crn_m + nrvnccoa_m	Carnitine shuttle
NRVNCCRNt	Transport into the mitochondria (carnitine)	Slc25a20	NRVNCCRNt: nrvnccrn_c --> nrvnccrn_m	Carnitine shuttle
NS26T2g	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase	St6galnac1	NS26T2g: cmpacna_g + sT_antigen_g --> cmp_g + dsT_antigen_g + h_g	O-Glycan Biosynthesis
NS26Tg	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase	St6galnac1	NS26Tg: Tn_antigen_g + cmpacna_g --> cmp_g + h_g + sTn_antigen_g	O-Glycan Biosynthesis
NT5C	5'-nucleotidase	Nt5c2	NT5C: h2o_c + nicrnt_c --> nicrns_c + pi_c	NAD Metabolism
NTD1	5'-nucleotidase (dUMP)	Nt5c	NTD1: dump_c + h2o_c --> duri_c + pi_c	Pyrimidine Catabolism
NTD10	5'-nucleotidase (XMP)	Nt5c2	NTD10: h2o_c + xmp_c --> pi_c + xtsn_c	Nucleotides
NTD12	5'-nucleotidase (dIMP)	Nt5c	NTD12: dimp_c + h2o_c --> din_c + pi_c	Nucleotides
